,paper1,paper2,pub1,pub2,stack1,stack2,comp1,comp2,pos1b,pos2b
0,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
9,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
18,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
27,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I73173[""publication: NbO2-based low power and cost efective 1S1R switching for high density cross point ReRAM application""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I24977[""TiN/NbO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
36,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I50118[""publication: Highly-scalable threshold switching select device based on chalcogenide glasses for 3D nanoscaled memory arrays""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I93983[""TiN/AsTeGeSiN/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
45,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I47402[""publication: Vacancy-modulated conductive oxide resistive RAM (VMCO-RRAM): an area-scalable switching current, self-compliant, highly nonlinear and wide on/of-window resistive switching cell""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I3236[""TiN/Al2O3/TiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
54,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I47520[""publication: Hardware implementation of memristorbased artificial neural networks""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I79160[""publication: Fully hardware-implemented memristor convolutional neural network""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I11681[""TiN/TaOx/HfOx/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
63,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I47520[""publication: Hardware implementation of memristorbased artificial neural networks""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I42033[""publication: A compute-in-memory chip based on resistive random-access memory""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I57709[""TiN/HfO2/TaOx/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
72,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I47520[""publication: Hardware implementation of memristorbased artificial neural networks""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I76087[""publication: In-memory and error-immune differential RRAM implementation of binarized deep neural networks""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I86221[""TiN/HfO2/Ti/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
81,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I47520[""publication: Hardware implementation of memristorbased artificial neural networks""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I28976[""publication: Digital biologically plausible implementation of binarized neural networks with differential hafnium oxide resistive memory arrays""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I86221[""TiN/HfO2/Ti/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
90,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I47520[""publication: Hardware implementation of memristorbased artificial neural networks""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I34380[""publication: A 43pJ/Cycle Non-Volatile Microcontroller with 4.7μs Shutdown/Wake-up Integrating 2.3-bit/Cell Resistive RAM and Resilience Techniques""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I86221[""TiN/HfO2/Ti/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,3
