,paper1,paper2,pub1,pub2,stack1,stack2,comp1,comp2,pos1b,pos2b
0,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
1,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
2,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
3,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
4,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
5,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
6,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
7,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
8,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I29872[""publication: High-performance metal–insulator–metal tunnel diode selectors""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I47470[""TiN/Ta2O5/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
9,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
10,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
11,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
12,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
13,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
14,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
15,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
16,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
17,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I45292[""publication: Termally stable integrated Se-based OTS selectors with >20MA/cm2 current drive, >3.103 half-bias nonlinearity, tunable threshold voltage and excellent endurance""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I46285[""TiN/GexSe1-x/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
18,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
19,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
20,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
21,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
22,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
23,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
24,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
25,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
26,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I66609[""publication: Breakthrough of selector technology for cross-point 25-nm ReRAM""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I6912[""TiN/As:SiO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
27,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I73173[""publication: NbO2-based low power and cost efective 1S1R switching for high density cross point ReRAM application""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I24977[""TiN/NbO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
28,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I73173[""publication: NbO2-based low power and cost efective 1S1R switching for high density cross point ReRAM application""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I24977[""TiN/NbO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
29,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I73173[""publication: NbO2-based low power and cost efective 1S1R switching for high density cross point ReRAM application""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I24977[""TiN/NbO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
30,"<Item I18540[""publication: Recommended Methods to Study Resistive Switching Devices""]>","<Item I70494[""publication: Memristive crossbar arrays for brain-inspired computing""]>","<Item I6557[""publication: IEEE Int. Electron Devices Meet.""]>","<Item I73173[""publication: NbO2-based low power and cost efective 1S1R switching for high density cross point ReRAM application""]>","<Item I86040[""TiN/TiOx/HfOx/TiN""]>","<Item I24977[""TiN/NbO2/TiN""]>","<Item I6118[""TiN""]>","<Item I6118[""TiN""]>",3,2
